EbN0_dB,BER_soft,BER_hard,BER_uncoded
0,0.113229,0.197399,0.078576
0.5,0.081736,0.164964,0.066937
1,0.054865,0.13106,0.056163
1.5,0.034099,0.100557,0.046685
2,0.019647,0.073846,0.037631
2.5,0.010262,0.050589,0.029786
3,0.005086,0.033214,0.022947
3.5,0.002321,0.02012,0.017266
4,0.000869,0.011769,0.012763
4.5,0.000329,0.006483,0.008841
5,0.00014,0.003101,0.005955
5.5,4.4e-05,0.001436,0.003803
6,1.7e-05,0.000644,0.002373
6.5,4e-06,0.000287,0.001402
7,3e-06,9e-05,0.000742
7.5,0,5.3e-05,0.000394
8,0,1.6e-05,0.000176
8.5,0,0,0.0001
9,0,0,3.8e-05
9.5,0,0,2e-05
10,0,0,5e-06
