EbN0_dB	bits	errs_soft	BER_soft	errs_hard	BER_hard
0.00	2000001	226216	1.1311e-01	398542	1.9927e-01
0.50	2000001	161560	8.0780e-02	329904	1.6495e-01
1.00	2000001	108398	5.4199e-02	261957	1.3098e-01
1.50	2000001	69381	3.4690e-02	202827	1.0141e-01
2.00	2000001	39256	1.9628e-02	147456	7.3728e-02
2.50	2000001	21414	1.0707e-02	102009	5.1004e-02
3.00	2000001	10247	5.1235e-03	66143	3.3071e-02
3.50	2000001	4597	2.2985e-03	41034	2.0517e-02
4.00	2000001	1930	9.6500e-04	23945	1.1972e-02
4.50	2000001	697	3.4850e-04	12816	6.4080e-03
5.00	2000001	203	1.0150e-04	6509	3.2545e-03
5.50	2000001	68	3.4000e-05	3032	1.5160e-03
6.00	2000001	11	5.5000e-06	1253	6.2650e-04
6.50	2000001	10	5.0000e-06	526	2.6300e-04
7.00	2000001	0	0.0000e+00	182	9.1000e-05
7.50	2000001	0	0.0000e+00	70	3.5000e-05
8.00	2000001	0	0.0000e+00	13	6.5000e-06
